표이름,시점,지역,분류,항목,값,단위
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,4년제이상대학교,1306,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,대학원 석사과정,147,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,대학원 박사과정,37,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,농가,11202,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,경영주연령별농가:15~19,-,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,20~24,1,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,25~29,10,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,30~34,62,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,35~39,140,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,40~44,264,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,45~49,476,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,50~54,823,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,55~59,1262,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,60~64,1774,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,65~69,1628,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,70~74,1637,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,75~79,1531,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,80세이상,1594,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,경영주평균연령,66.4,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,경영주교육정도별농가:          받지않음,1106,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,초등학교,3042,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,중학교,1835,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,고등학교,3335,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,4년제미만대학,783,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,4년제이상대학교,932,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,대학원 석사과정,135,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1ha 미만,대학원 박사과정,34,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,농가,205007,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,경영주연령별농가:15~19,2,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,20~24,44,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,25~29,145,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,30~34,544,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,35~39,1943,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,40~44,4430,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,45~49,9696,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,50~54,16916,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,55~59,25982,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,60~64,34613,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,65~69,31609,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,70~74,28771,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,75~79,25201,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,80세이상,25111,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,경영주평균연령,65.7,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,경영주교육정도별농가:          받지않음,15899,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,초등학교,45675,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,중학교,30822,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,고등학교,65813,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,4년제미만대학,16357,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,4년제이상대학교,24847,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,대학원 석사과정,4424,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.1~0.2,대학원 박사과정,1170,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,농가,121845,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,경영주연령별농가:15~19,1,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,20~24,17,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,25~29,89,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,30~34,274,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,35~39,974,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,40~44,2289,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,45~49,5439,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,50~54,9534,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,55~59,14878,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,60~64,20502,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,65~69,19337,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,70~74,17813,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,75~79,15674,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,80세이상,15024,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,경영주평균연령,66.1,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,경영주교육정도별농가:          받지않음,9158,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,초등학교,29440,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,중학교,18929,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,고등학교,38260,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,4년제미만대학,9493,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,4년제이상대학교,13425,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,대학원 석사과정,2504,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.2~0.3,대학원 박사과정,636,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,농가,199156,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,경영주연령별농가:15~19,3,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,20~24,32,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,25~29,148,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,30~34,490,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,35~39,1475,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,40~44,3356,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,45~49,8110,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,50~54,14721,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,55~59,22709,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,60~64,32196,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,65~69,31110,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,70~74,30524,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,75~79,27853,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,80세이상,26429,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,경영주평균연령,66.7,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,경영주교육정도별농가:          받지않음,15175,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,초등학교,54228,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,중학교,32500,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,고등학교,59967,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,4년제미만대학,13996,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,4년제이상대학교,19152,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,대학원 석사과정,3289,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.3~0.5,대학원 박사과정,849,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,농가,113262,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,경영주연령별농가:15~19,1,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,20~24,15,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,25~29,81,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,30~34,246,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,35~39,748,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,40~44,1713,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,45~49,4059,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,50~54,7781,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,55~59,12201,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,60~64,17869,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,65~69,17912,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,70~74,18285,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,75~79,16992,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,80세이상,15359,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,경영주평균연령,67.3,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,경영주교육정도별농가:          받지않음,8380,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,초등학교,33920,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,중학교,19848,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,고등학교,32615,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,4년제미만대학,7232,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,4년제이상대학교,9198,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,대학원 석사과정,1623,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.5~0.7,대학원 박사과정,446,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,농가,109902,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,경영주연령별농가:15~19,-,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,20~24,16,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,25~29,79,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,30~34,207,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,35~39,649,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,40~44,1608,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,45~49,3762,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,50~54,6938,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,55~59,11643,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,60~64,17629,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,65~69,18178,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,70~74,18351,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,75~79,16462,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,80세이상,14380,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,경영주평균연령,67.4,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,경영주교육정도별농가:          받지않음,7051,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,초등학교,34394,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,중학교,20570,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,고등학교,31657,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,4년제미만대학,6536,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,4년제이상대학교,8013,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,대학원 석사과정,1348,가구
경영주 연령 및 교육정도별 농가,2020,전국,0.7~1.0,대학원 박사과정,333,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,농가,90033,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,경영주연령별농가:15~19,-,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,20~24,13,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,25~29,52,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,30~34,170,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,35~39,558,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,40~44,1290,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,45~49,3020,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,50~54,5688,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,55~59,9571,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,60~64,15302,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,65~69,15571,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,70~74,15641,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,75~79,13024,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,80세이상,10133,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,경영주평균연령,67,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,경영주교육정도별농가:          받지않음,4869,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,초등학교,28704,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,중학교,18409,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,고등학교,26083,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,4년제미만대학,5037,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,4년제이상대학교,5821,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,대학원 석사과정,891,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.0~1.5,대학원 박사과정,219,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,농가,55328,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,경영주연령별농가:15~19,-,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,20~24,13,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,25~29,46,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,30~34,126,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,35~39,406,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,40~44,917,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,45~49,2036,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,50~54,3846,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,55~59,6535,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,60~64,10217,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,65~69,9907,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,70~74,9408,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,75~79,7043,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,80세이상,4828,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,경영주평균연령,65.9,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,경영주교육정도별농가:          받지않음,2300,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,초등학교,16429,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,중학교,12043,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,고등학교,17266,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,4년제미만대학,3218,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,4년제이상대학교,3480,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,대학원 석사과정,470,가구
경영주 연령 및 교육정도별 농가,2020,전국,1.5~2.0,대학원 박사과정,122,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,농가,27293,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,경영주연령별농가:15~19,-,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,20~24,3,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,25~29,26,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,30~34,56,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,35~39,192,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,40~44,429,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,45~49,1050,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,50~54,1926,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,55~59,3376,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,60~64,5382,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,65~69,5022,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,70~74,4653,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,75~79,3203,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,80세이상,1975,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,경영주평균연령,65.4,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,경영주교육정도별농가:          받지않음,925,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,초등학교,7988,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,중학교,6129,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,고등학교,8741,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,4년제미만대학,1606,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,4년제이상대학교,1632,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,대학원 석사과정,218,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.0~2.5,대학원 박사과정,54,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,농가,20151,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,경영주연령별농가:15~19,-,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,20~24,6,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,25~29,16,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,30~34,55,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,35~39,161,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,40~44,366,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,45~49,763,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,50~54,1520,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,55~59,2703,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,60~64,4172,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,65~69,3889,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,70~74,3263,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,75~79,2069,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,80세이상,1168,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,경영주평균연령,64.7,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,경영주교육정도별농가:          받지않음,610,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,초등학교,5478,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,중학교,4702,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,고등학교,6802,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,4년제미만대학,1257,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,4년제이상대학교,1137,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,대학원 석사과정,132,가구
경영주 연령 및 교육정도별 농가,2020,전국,2.5~3.0,대학원 박사과정,33,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,농가,25986,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,경영주연령별농가:15~19,-,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,20~24,9,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,25~29,35,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,30~34,94,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,35~39,288,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,40~44,530,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,45~49,1216,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,50~54,2195,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,55~59,3798,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,60~64,5752,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,65~69,4887,가구
경영주 연령 및 교육정도별 농가,2020,전국,3.0~4.0,70~74,3906,가구
